beta0,beta1,beta2,chains
-0.32692247777692407,-0.742003554562692,-3.654361561791319,1
-0.3079129067456087,-0.7319673553165088,-3.988500728391275,1
-0.8671411359492933,-0.6762392049041182,-4.151035707985047,1
-0.6568168098239067,-0.7901114155714516,-4.184906885027469,1
-0.7503038562131394,-0.6389589131993456,-3.956263405692925,1
-0.9614505970524606,-0.6163587932327851,-3.9706971024276907,1
-0.8702968520578043,-0.6082309233585201,-3.944522654347172,1
-0.8888349191026684,-0.5971691007940704,-4.067580407167572,1
-0.9876175494603061,-0.5819128779443553,-3.9569337595773177,1
-0.6895771717087602,-0.7386879980799856,-3.9284919460256353,1
-0.537145540480374,-0.8638133487355223,-3.7027757880153795,1
-0.6382660612199386,-0.792505207339784,-3.478621600450126,1
-0.6062827297088276,-0.8265381022043693,-3.939404765713391,1
-0.725673660289941,-0.7825371926979108,-4.085338419621023,1
-1.1454814669082094,-0.8454423400592308,-4.1219782794797295,1
-1.47947993763311,-0.8362970426548573,-4.120357074857869,1
-1.3073949848002338,-0.7434307995918236,-4.257736756264745,1
-1.4277227745592687,-0.717629194620059,-4.253895179881107,1
-0.7275643284950525,-0.8296294420249881,-4.171922294267024,1
-1.4222421388669173,-0.7623713223082562,-4.099417302938796,1
-1.6420075332512059,-0.742430134435877,-4.366834157627995,1
-1.8012699661900315,-0.5547328218291234,-4.697622572398897,1
-1.5956055293974423,-0.5660815780767027,-4.860477029004125,1
-1.6404181700483664,-0.5403691195704656,-4.853730445619436,1
-1.797515403821739,-0.4506431641190206,-4.767838541961473,1
-1.6595939481350828,-0.5273342236303079,-5.168981174121913,1
-1.6184205781341732,-0.5852673933686756,-5.1618708574166146,1
-1.727996717989632,-0.481566584485541,-5.3903615502412805,1
-1.7922662630605513,-0.43951363336320126,-5.131399059274996,1
-1.52550350962228,-0.5483127569015036,-4.770109007245131,1
-1.756713369525787,-0.4858890611671983,-4.7278746910428255,1
-1.618027351867433,-0.42970735067073756,-4.721429132475824,1
-1.542143081561067,-0.467986888099811,-4.554855388993423,1
-1.6595815381177235,-0.4953665892763981,-4.325508724812861,1
-1.750523375711967,-0.42657963874910787,-4.23945213220053,1
-1.9217129501182058,-0.5316308516945467,-4.456156272434076,1
